pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type,dropped_airport
2016.0,7.0,10.0,0.0,1.07,161.0,100.0,6.0,0.0,0.5,0.0,0.3,1.7,8.5,1.0,0
2016.0,1.0,29.0,0.0,2.7,40.79120636,1.0,40.76013565,1.0,15.0,0.5,3.15,0.0,0.0,-73.97584534,0
2016.0,2.0,19.0,0.0,2.2,40.70691299,1.0,40.69511414,1.0,8.5,0.5,1.96,0.5,0.0,-73.99772644,0
2016.0,1.0,29.0,0.0,2.96,40.73419189,1.0,40.72420883,1.0,13.0,0.5,2.0,0.0,0.0,-74.00101471,0
2016.0,9.0,4.0,0.0,0.3,230.0,161.0,4.0,0.5,0.5,0.0,0.3,1.3,6.6,1.0,0
2016.0,9.0,4.0,0.0,2.14,246.0,162.0,9.5,0.5,0.5,0.0,0.3,1.5,12.3,1.0,0
2016.0,7.0,10.0,0.0,2.49,186.0,211.0,10.5,0.0,0.5,0.0,0.3,0.0,11.3,2.0,0
2016.0,9.0,4.0,0.0,17.5,79.0,124.0,49.0,0.5,0.5,0.0,0.3,0.0,50.3,2.0,0
2016.0,9.0,4.0,0.0,2.22,143.0,236.0,9.5,0.5,0.5,0.0,0.3,1.2,12.0,1.0,0
2016.0,11.0,15.0,0.0,4.2,113.0,189.0,15.0,0.5,0.5,0.0,0.3,3.25,19.55,1.0,0
2016.0,1.0,29.0,0.0,4.6,40.75481796,1.0,40.77069855,1.0,26.5,0.5,5.45,0.0,0.0,-73.94874573,0
2016.0,11.0,1.0,0.0,2.32,45.0,4.0,12.5,0.5,0.5,0.0,0.3,2.76,16.56,1.0,0
2016.0,2.0,19.0,0.0,7.41,40.75366974,1.0,40.69007111,1.0,25.0,0.5,5.26,0.5,0.0,-73.99342346,0
2016.0,2.0,1.0,0.0,1.69,40.72917175,1.0,40.72201157,1.0,8.5,0.5,2.94,0.5,0.0,-73.98881531,0
2016.0,11.0,1.0,0.0,5.8,48.0,152.0,19.5,0.5,0.5,0.0,0.3,0.0,20.8,2.0,0
2016.0,1.0,1.0,0.0,2.94,40.78461838,1.0,40.75101852,2.0,12.0,0.5,0.0,0.5,0.0,-73.97103119,0
2016.0,1.0,1.0,0.0,11.87,40.64518356,1.0,40.74300766,1.0,33.0,0.5,8.58,0.5,0.0,-73.89084625,0
2016.0,7.0,17.0,0.0,0.74,68.0,246.0,4.5,0.5,0.5,0.0,0.3,1.0,6.8,1.0,0
2016.0,7.0,10.0,0.0,0.63,237.0,237.0,5.0,0.0,0.5,0.0,0.3,0.0,5.8,2.0,0
2016.0,7.0,17.0,0.0,2.1,144.0,137.0,10.5,0.5,0.5,0.0,0.3,2.35,14.15,1.0,0
2016.0,2.0,1.0,0.0,4.5,40.76493073,1.0,40.76890945,2.0,16.0,0.5,0.0,0.5,0.0,-73.91111755,0
2016.0,11.0,1.0,0.0,2.72,43.0,238.0,12.5,0.5,0.5,0.0,0.3,2.76,16.56,1.0,0
2016.0,2.0,19.0,0.0,1.1,40.73948288,1.0,40.74976349,2.0,8.5,0.5,0.0,0.5,0.0,-73.98776245,0
2016.0,9.0,4.0,0.0,4.71,112.0,102.0,16.0,0.5,0.5,0.0,0.3,0.0,17.3,2.0,0
2016.0,2.0,19.0,0.0,6.52,40.7817688,1.0,40.82411957,2.0,21.0,0.5,0.0,0.5,0.0,-73.85936737,0
2016.0,11.0,15.0,0.0,2.1,158.0,13.0,8.5,0.5,0.5,0.0,0.3,1.96,11.76,1.0,0
2016.0,7.0,10.0,0.0,0.84,163.0,237.0,5.5,0.0,0.5,0.0,0.3,0.0,6.3,2.0,0
2016.0,9.0,4.0,0.0,3.7,246.0,166.0,12.0,0.5,0.5,0.0,0.3,1.5,14.8,1.0,0
2016.0,9.0,4.0,0.0,1.91,224.0,186.0,9.5,0.5,0.5,0.0,0.3,1.0,11.8,1.0,0
2016.0,9.0,4.0,0.0,1.9,246.0,230.0,8.5,0.5,0.5,0.0,0.3,0.0,9.8,2.0,0
2016.0,7.0,10.0,0.0,0.61,113.0,211.0,4.5,0.0,0.5,0.0,0.3,0.0,5.3,2.0,0
2016.0,7.0,10.0,0.0,1.23,236.0,239.0,6.5,0.0,0.5,0.0,0.3,0.0,7.3,1.0,0
2016.0,9.0,4.0,0.0,0.78,263.0,141.0,4.5,0.5,0.5,0.0,0.3,1.16,6.96,1.0,0
2016.0,1.0,29.0,0.0,1.5,40.782444,1.0,40.76136017,1.0,10.5,0.5,2.5,0.0,0.0,-73.98381042,0
2016.0,1.0,1.0,0.0,5.7,40.75056839,1.0,40.71357346,1.0,18.0,0.5,8.0,0.5,10.5,-74.03556824,0
2016.0,9.0,4.0,0.0,1.64,100.0,162.0,8.5,0.5,0.5,0.0,0.3,0.0,9.8,2.0,0
2016.0,9.0,4.0,0.0,3.68,79.0,236.0,13.0,0.5,0.5,0.0,0.3,2.86,17.16,1.0,0
2016.0,9.0,4.0,0.0,3.7,90.0,261.0,13.0,0.5,0.5,0.0,0.3,0.0,14.3,2.0,0
2016.0,9.0,4.0,0.0,1.5,48.0,239.0,7.5,0.5,0.5,0.0,0.3,1.75,10.55,1.0,0
2016.0,9.0,4.0,0.0,2.71,249.0,163.0,11.0,0.5,0.5,0.0,0.3,0.0,12.3,2.0,0
2016.0,9.0,4.0,0.0,2.4,256.0,4.0,10.5,0.5,0.5,0.0,0.3,0.0,11.8,2.0,0
2016.0,11.0,1.0,0.0,0.64,230.0,100.0,4.5,0.5,0.5,0.0,0.3,5.0,10.8,1.0,0
2016.0,11.0,1.0,0.0,1.8,68.0,230.0,10.0,0.5,0.5,0.0,0.3,3.35,14.65,1.0,0
2016.0,11.0,1.0,0.0,0.5,114.0,249.0,9.0,0.5,0.5,0.0,0.0,0.0,10.0,2.0,0
2016.0,1.0,29.0,0.0,0.9,40.73803711,1.0,40.73168182,1.0,6.0,0.5,1.0,0.0,0.0,-73.99027252,0
2016.0,1.0,1.0,0.0,15.25,40.64486313,1.0,40.72632599,1.0,40.5,0.5,0.0,0.5,0.0,-73.93797302,0
